symbol,timestamp_est,open,high,low,close,volume,trade_count,vwap
SPY,2022-02-11T00:00:00-05:00,449.37,451.54,438.97,440.42,2442797,15049,443.083946
SPY,2022-02-14T00:00:00-05:00,439.96,441.585,435.375,438.89,1353964,9547,438.801055
SPY,2022-02-15T00:00:00-05:00,443.82,446.27,443.25,445.99,971379,8246,444.992628
SPY,2022-02-16T00:00:00-05:00,443.96,447.93,441.96,446.68,1044875,7916,444.780964
SPY,2022-02-17T00:00:00-05:00,443.38,443.73,436.425,436.98,1471785,11549,439.201884
SPY,2022-02-18T00:00:00-05:00,437.37,438.64,431.87,434.27,1718599,12914,434.953883
SPY,2022-02-22T00:00:00-05:00,432.05,435.5,425.9,429.58,2494412,19168,430.289777
SPY,2022-02-23T00:00:00-05:00,432.59,433.22,421.37,422.05,2181670,15390,426.213784
SPY,2022-02-24T00:00:00-05:00,411.05,428.71,410.65,428.31,2457055,18655,418.943423
SPY,2022-02-25T00:00:00-05:00,429.58,437.815,427.935,437.65,1794538,14939,434.8271
SPY,2022-02-28T00:00:00-05:00,431.99,438.17,430.7,436.49,2056557,14592,434.146077
SPY,2022-03-01T00:00:00-05:00,435.09,437.15,427.27,429.93,2051122,15024,430.784647
SPY,2022-03-02T00:00:00-05:00,432.39,439.62,431.68,437.79,1551924,12959,436.800024
SPY,2022-03-03T00:00:00-05:00,440.4,441.085,433.86,435.75,1501648,12994,437.013564
SPY,2022-03-04T00:00:00-05:00,431.75,433.36,427.95,432.15,1529061,12817,430.525988
SPY,2022-03-07T00:00:00-05:00,431.51,431.81,419.39,419.47,2501177,17979,423.144137
SPY,2022-03-08T00:00:00-05:00,419.66,427.2,415.17,416.31,3256913,23243,420.531723
SPY,2022-03-09T00:00:00-05:00,425.15,429.5,422.86,427.45,2191544,13170,427.001325
SPY,2022-03-10T00:00:00-05:00,422.55,426.415,420.44,425.48,2202301,14122,423.515364
SPY,2022-03-11T00:00:00-05:00,428.15,428.71,419.55,420.07,2088256,13953,424.163622
SPY,2022-03-14T00:00:00-04:00,420.95,424.51,415.79,416.94,2561937,16252,418.725771
SPY,2022-03-15T00:00:00-04:00,419.74,426.835,418.44,426.17,2612143,17082,423.473798
SPY,2022-03-16T00:00:00-04:00,429.89,435.67,424.85,435.67,2848672,17525,430.902854
SPY,2022-03-17T00:00:00-04:00,433.71,441.05,433.21,441.05,2107649,13290,437.31572
SPY,2022-03-18T00:00:00-04:00,438.04,444.845,437.23,444.35,1853532,12686,441.705534
SPY,2022-03-21T00:00:00-04:00,444.67,446.46,440.69,444.39,1923850,14070,443.694638
SPY,2022-03-22T00:00:00-04:00,446,450.58,445.94,449.61,1367707,9920,448.7993
SPY,2022-03-23T00:00:00-04:00,446.88,448.46,443.79,443.8,1533798,12278,446.206029
SPY,2022-03-24T00:00:00-04:00,445.9,450.44,444.79,450.42,1175556,9225,447.989743
SPY,2022-03-25T00:00:00-04:00,451.125,452.96,448.45,452.65,1147220,9750,450.908962
SPY,2022-03-28T00:00:00-04:00,452.09,455.87,450.11,455.85,972411,7327,453.134985
SPY,2022-03-29T00:00:00-04:00,460.04,462.055,457.2,461.59,1995564,15815,459.782138
SPY,2022-03-30T00:00:00-04:00,460.37,461.185,456.47,458.63,1142267,9858,458.935104
SPY,2022-03-31T00:00:00-04:00,458,458.73,451.59,451.8,1732118,12947,455.266983
SPY,2022-04-01T00:00:00-04:00,453.28,453.43,449.19,452.93,1247893,9079,451.557765
SPY,2022-04-04T00:00:00-04:00,453.07,456.83,452.29,456.71,1164303,10175,455.374855
SPY,2022-04-05T00:00:00-04:00,455.23,457.81,449.9,451.23,1793188,12597,452.923492
SPY,2022-04-06T00:00:00-04:00,446.86,448.93,443.47,446.64,2303884,14972,446.093793
SPY,2022-04-07T00:00:00-04:00,445.71,450.66,443.57,448.71,1971889,12957,447.235095
SPY,2022-04-08T00:00:00-04:00,448.1,450.57,445.98,447.63,1579934,9504,448.195212
SPY,2022-04-11T00:00:00-04:00,444.16,445,439.41,440.01,1942981,12699,441.969364
SPY,2022-04-12T00:00:00-04:00,443.15,445.67,436.655,438.28,2364634,14851,439.901131
SPY,2022-04-13T00:00:00-04:00,437.99,444.06,437.91,443.33,1137623,8555,441.626772
SPY,2022-04-14T00:00:00-04:00,443.58,444.695,437.685,437.95,1480474,10007,440.328936
SPY,2022-04-18T00:00:00-04:00,436.89,439.72,435.62,438.01,1239780,9062,437.525718
SPY,2022-04-19T00:00:00-04:00,437.97,445.79,437.72,444.91,1593310,10405,443.401462
SPY,2022-04-20T00:00:00-04:00,446.94,447.56,443.505,444.71,1267461,8451,445.611319
SPY,2022-04-21T00:00:00-04:00,448.65,449.99,437.13,437.92,1677539,10728,442.879497
SPY,2022-04-22T00:00:00-04:00,436.85,437.17,425.46,426.05,2520022,14527,430.209197
SPY,2022-04-25T00:00:00-04:00,423.66,428.68,418.84,428.56,2446712,16649,423.497068
SPY,2022-04-26T00:00:00-04:00,425.76,425.99,416.07,416.09,3107121,17900,420.129453
SPY,2022-04-27T00:00:00-04:00,417.23,422.92,415.02,417.19,1884990,12372,419.067095
SPY,2022-04-28T00:00:00-04:00,422.24,429.6,417.6,427.75,2901392,18434,424.926003
SPY,2022-04-29T00:00:00-04:00,423.61,425.84,411.22,411.91,3563548,20883,416.987945
SPY,2022-05-02T00:00:00-04:00,412.03,415.87,405.07,414.6,3327180,21495,410.772375
SPY,2022-05-03T00:00:00-04:00,414.99,418.92,413.39,416.33,1816807,12302,416.189967
SPY,2022-05-04T00:00:00-04:00,417.07,429.62,413.72,429.08,2997683,19847,421.9012
SPY,2022-05-05T00:00:00-04:00,424.54,424.61,409.49,414.2,4327815,25192,414.876613
SPY,2022-05-06T00:00:00-04:00,411.12,414.755,405.73,411.55,2839887,18877,410.118394
SPY,2022-05-09T00:00:00-04:00,405.1,406.35,396.52,398.26,3073074,19257,400.834904
SPY,2022-05-10T00:00:00-04:00,404.7,406.075,394.82,399.08,3043393,23079,400.425827
SPY,2022-05-11T00:00:00-04:00,398.05,403.97,391.99,392.72,2891288,19726,397.370261
SPY,2022-05-12T00:00:00-04:00,389.52,395.73,385.16,392.39,3669221,25962,389.462012
SPY,2022-05-13T00:00:00-04:00,396.8,403.17,395.625,401.61,2496868,17694,400.258717
